fecha;nombre;geo
2020-03-29;Independencia;[(-70.671228, -33.42585), (-70.671317, -33.426466), (-70.662798, -33.42917), (-70.653013, -33.432035), (-70.651658, -33.432368), (-70.651658, -33.431401), (-70.651272, -33.427211), (-70.650671, -33.421229), (-70.650242, -33.418507), (-70.650113, -33.417719), (-70.652688, -33.417468), (-70.652731, -33.415355), (-70.652602, -33.411235), (-70.653632, -33.411235), (-70.653589, -33.409766), (-70.653117, -33.409802), (-70.652645, -33.40751), (-70.652946, -33.407474), (-70.652774, -33.406506), (-70.657151, -33.40536), (-70.658181, -33.400631), (-70.66067, -33.400918), (-70.660971, -33.399448), (-70.663331, -33.399126), (-70.663889, -33.399341), (-70.664104, -33.399054), (-70.667065, -33.399054), (-70.668138, -33.399126), (-70.667709, -33.399484), (-70.668481, -33.399699), (-70.672086, -33.399914), (-70.672215, -33.399628), (-70.681012, -33.402745), (-70.681871, -33.402924), (-70.680283, -33.405539), (-70.678867, -33.417217), (-70.678094, -33.418579), (-70.676978, -33.420083), (-70.674661, -33.421659), (-70.674017, -33.422375), (-70.672, -33.424847), (-70.671142, -33.425527), (-70.671228, -33.42585)]
2020-03-29;Las Condes;[(-70.607983, -33.416182), (-70.605923, -33.41654), (-70.60455, -33.417328), (-70.60309, -33.4174), (-70.601803, -33.417902), (-70.595537, -33.42263), (-70.588499, -33.428217), (-70.584894, -33.431942), (-70.554596, -33.430438), (-70.539232, -33.428719), (-70.539275, -33.430044), (-70.538803, -33.432443), (-70.537687, -33.433661), (-70.522753, -33.431441), (-70.518032, -33.433733), (-70.517388, -33.436634), (-70.503333, -33.438084), (-70.499863, -33.443854), (-70.49521, -33.446595), (-70.495458, -33.450544), (-70.490003, -33.454667), (-70.48646, -33.460631), (-70.486178, -33.462728), (-70.482493, -33.465239), (-70.472971, -33.475195), (-70.460999, -33.475339), (-70.456214, -33.479706), (-70.451418, -33.481174), (-70.448504, -33.483912), (-70.440784, -33.486363), (-70.438366, -33.485986), (-70.436642, -33.481932), (-70.433892, -33.481623), (-70.433718, -33.476314), (-70.432515, -33.473009), (-70.434889, -33.469105), (-70.432814, -33.463144), (-70.430054, -33.462911), (-70.426778, -33.456806), (-70.429339, -33.453566), (-70.428536, -33.450738), (-70.428992, -33.446889), (-70.431624, -33.446541), (-70.432024, -33.44409), (-70.431538, -33.441146), (-70.429678, -33.439348), (-70.433683, -33.431884), (-70.433912, -33.426425), (-70.439859, -33.421789), (-70.442146, -33.417464), (-70.445462, -33.416006), (-70.450254, -33.408828), (-70.449208, -33.406808), (-70.456729, -33.393025), (-70.46559, -33.392107), (-70.472113, -33.391032), (-70.479494, -33.385156), (-70.483056, -33.381679), (-70.482155, -33.374763), (-70.483737, -33.372533), (-70.486275, -33.371538), (-70.486961, -33.364513), (-70.49048, -33.364441), (-70.492111, -33.364441), (-70.493742, -33.365086), (-70.49563, -33.366932), (-70.499064, -33.36695), (-70.505329, -33.369889), (-70.511252, -33.370606), (-70.516916, -33.372398), (-70.521294, -33.374333), (-70.526958, -33.376842), (-70.532709, -33.382647), (-70.534769, -33.384367), (-70.537602, -33.385585), (-70.548159, -33.389599), (-70.570904, -33.397983), (-70.582491, -33.402497), (-70.585323, -33.40393), (-70.590645, -33.405292), (-70.598713, -33.408229), (-70.60206, -33.408158), (-70.603691, -33.409018), (-70.605837, -33.410164), (-70.606609, -33.411884), (-70.607039, -33.414678), (-70.607983, -33.416182)]
2020-03-29;Lo Barnechea;[(-70.372527, -33.105068), (-70.382827, -33.114846), (-70.395186, -33.120022), (-70.421966, -33.125197), (-70.432265, -33.132673), (-70.440505, -33.153945), (-70.456298, -33.172914), (-70.459731, -33.183833), (-70.477584, -33.215434), (-70.489257, -33.223476), (-70.50299, -33.234963), (-70.516723, -33.241855), (-70.526336, -33.250469), (-70.528396, -33.259082), (-70.546935, -33.283768), (-70.559295, -33.289508), (-70.570281, -33.297543), (-70.584073, -33.316337), (-70.583043, -33.320354), (-70.589738, -33.340577), (-70.588536, -33.346026), (-70.58476, -33.347747), (-70.581033, -33.350803), (-70.5779, -33.351807), (-70.57657, -33.354818), (-70.574123, -33.356252), (-70.569531, -33.356001), (-70.567042, -33.354854), (-70.565412, -33.355105), (-70.564725, -33.35636), (-70.55876, -33.356826), (-70.554425, -33.35808), (-70.552745, -33.359792), (-70.55258, -33.360231), (-70.551335, -33.360303), (-70.550692, -33.359944), (-70.548288, -33.360518), (-70.548632, -33.361127), (-70.546915, -33.363887), (-70.546186, -33.365249), (-70.545756, -33.366539), (-70.543825, -33.367794), (-70.541594, -33.368367), (-70.539963, -33.369371), (-70.536744, -33.369622), (-70.534985, -33.370768), (-70.52545, -33.369325), (-70.522024, -33.369371), (-70.520093, -33.368726), (-70.518934, -33.370482), (-70.51769, -33.37274), (-70.511252, -33.370606), (-70.505329, -33.369889), (-70.499064, -33.36695), (-70.49563, -33.366932), (-70.493742, -33.365086), (-70.492111, -33.364441), (-70.486961, -33.364513), (-70.486275, -33.371538), (-70.483737, -33.372533), (-70.482155, -33.374763), (-70.483056, -33.381679), (-70.479494, -33.385156), (-70.472113, -33.391032), (-70.46559, -33.392107), (-70.45919, -33.392547), (-70.457816, -33.392547), (-70.456729, -33.393025), (-70.449208, -33.406808), (-70.450254, -33.408828), (-70.445462, -33.416006), (-70.442146, -33.417464), (-70.439859, -33.421789), (-70.433912, -33.426425), (-70.433683, -33.431884), (-70.429678, -33.439348), (-70.431538, -33.441146), (-70.432024, -33.44409), (-70.431624, -33.446541), (-70.428992, -33.446889), (-70.428536, -33.450738), (-70.429339, -33.453566), (-70.426778, -33.456806), (-70.430054, -33.462911), (-70.432814, -33.463144), (-70.434889, -33.469105), (-70.432515, -33.473009), (-70.433718, -33.476314), (-70.433892, -33.481623), (-70.426177, -33.482468), (-70.4121, -33.484472), (-70.404204, -33.489054), (-70.392531, -33.48934), (-70.366438, -33.487049), (-70.356139, -33.489054), (-70.342062, -33.485904), (-70.32936, -33.481322), (-70.317, -33.479891), (-70.302237, -33.47445), (-70.291251, -33.476454), (-70.281294, -33.473877), (-70.278548, -33.465572), (-70.275458, -33.457838), (-70.264472, -33.455833), (-70.259665, -33.458411), (-70.245589, -33.458411), (-70.230826, -33.452682), (-70.225676, -33.439791), (-70.223616, -33.431769), (-70.219812, -33.421986), (-70.211572, -33.410523), (-70.207452, -33.394472), (-70.193719, -33.383006), (-70.186852, -33.364657), (-70.179986, -33.332536), (-70.181359, -33.304995), (-70.188226, -33.291221), (-70.192346, -33.275148), (-70.190972, -33.259073), (-70.203332, -33.245292), (-70.215692, -33.215425), (-70.233544, -33.206233), (-70.241784, -33.191294), (-70.239038, -33.169456), (-70.228051, -33.154511), (-70.232171, -33.143013), (-70.250024, -33.143013), (-70.26101, -33.129214), (-70.26513, -33.10851), (-70.27337, -33.098157), (-70.291223, -33.094705), (-70.314569, -33.087802), (-70.325555, -33.080898), (-70.339288, -33.088953), (-70.337915, -33.100458), (-70.350274, -33.105059), (-70.372527, -33.105068)]
2020-03-29;Ñuñoa;[(-70.631436, -33.449798), (-70.62971, -33.455526), (-70.625925, -33.469118), (-70.624165, -33.470227), (-70.622949, -33.47495), (-70.596299, -33.473432), (-70.589626, -33.473879), (-70.58469, -33.47345), (-70.580506, -33.470819), (-70.578274, -33.469852), (-70.577501, -33.469387), (-70.576386, -33.469136), (-70.570636, -33.45367), (-70.570979, -33.451378), (-70.572009, -33.445577), (-70.573382, -33.437914), (-70.575785, -33.436768), (-70.577502, -33.436293), (-70.579218, -33.435604), (-70.58218, -33.433831), (-70.587158, -33.439525), (-70.59278, -33.447815), (-70.59793, -33.444843), (-70.598412, -33.444319), (-70.599238, -33.444369), (-70.599217, -33.44461), (-70.60162, -33.444861), (-70.608144, -33.445685), (-70.613889, -33.446799), (-70.613714, -33.447522), (-70.616523, -33.447976), (-70.617113, -33.448142), (-70.618432, -33.448361), (-70.61876, -33.447233), (-70.625342, -33.448565), (-70.631436, -33.449798)]
2020-03-29;Providencia;[(-70.605837, -33.410164), (-70.610473, -33.408869), (-70.612533, -33.408583), (-70.614078, -33.408905), (-70.615837, -33.40998), (-70.616867, -33.411305), (-70.62, -33.414028), (-70.622961, -33.4165), (-70.624721, -33.41804), (-70.627038, -33.419114), (-70.629656, -33.419759), (-70.632574, -33.422589), (-70.633475, -33.423878), (-70.633819, -33.425347), (-70.633904, -33.426565), (-70.635793, -33.429645), (-70.636351, -33.430612), (-70.635246, -33.435903), (-70.63516, -33.43687), (-70.634817, -33.438517), (-70.631436, -33.449798), (-70.61876, -33.447233), (-70.618432, -33.448361), (-70.613714, -33.447522), (-70.613889, -33.446799), (-70.608144, -33.445685), (-70.599217, -33.44461), (-70.599238, -33.444369), (-70.598412, -33.444319), (-70.59793, -33.444843), (-70.59278, -33.447815), (-70.587158, -33.439525), (-70.58218, -33.433831), (-70.583522, -33.432976), (-70.584894, -33.431942), (-70.588499, -33.428217), (-70.601803, -33.417902), (-70.60309, -33.4174), (-70.60455, -33.417328), (-70.605923, -33.41654), (-70.607983, -33.416182), (-70.607039, -33.414678), (-70.606609, -33.411884), (-70.605837, -33.410164)]
2020-03-29;Santiago;[(-70.651658, -33.432368), (-70.653013, -33.432035), (-70.671317, -33.426466), (-70.671971, -33.428301), (-70.677046, -33.426519), (-70.678934, -33.427271), (-70.680222, -33.428095), (-70.680694, -33.429993), (-70.680127, -33.438382), (-70.6812, -33.438417), (-70.681243, -33.437522), (-70.681656, -33.437544), (-70.681737, -33.436179), (-70.682751, -33.43634), (-70.682702, -33.436609), (-70.683169, -33.436689), (-70.683123, -33.437365), (-70.6834, -33.437415), (-70.683271, -33.438552), (-70.691715, -33.439259), (-70.69165, -33.439814), (-70.691951, -33.442536), (-70.692058, -33.444577), (-70.680299, -33.443861), (-70.679698, -33.443717), (-70.679055, -33.450951), (-70.67785, -33.450621), (-70.679054, -33.469189), (-70.67944, -33.470084), (-70.679998, -33.47055), (-70.673046, -33.470478), (-70.67296, -33.474666), (-70.673646, -33.475704), (-70.674505, -33.47617), (-70.678281, -33.476206), (-70.678238, -33.47685), (-70.68077, -33.47685), (-70.680856, -33.478389), (-70.671758, -33.478461), (-70.671629, -33.476671), (-70.671544, -33.476277), (-70.670728, -33.476528), (-70.666222, -33.476385), (-70.664806, -33.476062), (-70.66163, -33.475955), (-70.654764, -33.476742), (-70.643391, -33.476742), (-70.641288, -33.476635), (-70.63498, -33.474666), (-70.625281, -33.47123), (-70.624466, -33.470836), (-70.624165, -33.470227), (-70.624594, -33.469905), (-70.625925, -33.469118), (-70.634817, -33.438517), (-70.63516, -33.43687), (-70.635246, -33.435903), (-70.651658, -33.432368)]
2020-03-29;Vitacura;[(-70.518934, -33.370482), (-70.520093, -33.368726), (-70.522024, -33.369371), (-70.526359, -33.36955), (-70.530436, -33.370231), (-70.532453, -33.370589), (-70.534985, -33.370768), (-70.536744, -33.369622), (-70.539963, -33.369371), (-70.541594, -33.368367), (-70.543825, -33.367794), (-70.545756, -33.366539), (-70.546186, -33.365249), (-70.546915, -33.363887), (-70.547559, -33.363385), (-70.547988, -33.362095), (-70.548632, -33.361127), (-70.548288, -33.360518), (-70.550692, -33.359944), (-70.551335, -33.360303), (-70.55258, -33.360231), (-70.554425, -33.35808), (-70.55876, -33.356826), (-70.564725, -33.35636), (-70.565412, -33.355105), (-70.567042, -33.354854), (-70.569531, -33.356001), (-70.574123, -33.356252), (-70.57657, -33.354818), (-70.5779, -33.351807), (-70.580046, -33.351413), (-70.581033, -33.350803), (-70.583136, -33.352094), (-70.586311, -33.354281), (-70.5882, -33.356575), (-70.593993, -33.358833), (-70.596568, -33.361701), (-70.599529, -33.362991), (-70.597641, -33.364855), (-70.595581, -33.365822), (-70.595238, -33.367041), (-70.595109, -33.368654), (-70.595238, -33.370768), (-70.596697, -33.372632), (-70.596826, -33.376073), (-70.597126, -33.377363), (-70.59777, -33.379836), (-70.599873, -33.38152), (-70.601675, -33.382487), (-70.60219, -33.384852), (-70.601847, -33.386035), (-70.601718, -33.387683), (-70.602061, -33.388722), (-70.602791, -33.390227), (-70.605366, -33.392915), (-70.606267, -33.394025), (-70.607726, -33.395638), (-70.608456, -33.398504), (-70.609657, -33.403699), (-70.609314, -33.404416), (-70.610086, -33.406529), (-70.610601, -33.407568), (-70.612533, -33.408583), (-70.610473, -33.408869), (-70.605837, -33.410164), (-70.60206, -33.408158), (-70.598713, -33.408229), (-70.590645, -33.405292), (-70.585323, -33.40393), (-70.582491, -33.402497), (-70.548159, -33.389599), (-70.534769, -33.384367), (-70.532709, -33.382647), (-70.526958, -33.376842), (-70.51769, -33.37274), (-70.518934, -33.370482)]
2020-03-29;Padre Las Casas;[(-72.589916, -38.749787), (-72.594186, -38.751661), (-72.594744, -38.752163), (-72.598692, -38.754908), (-72.60234, -38.756548), (-72.603713, -38.756782), (-72.604378, -38.757033), (-72.604872, -38.757083), (-72.606181, -38.757418), (-72.607576, -38.757685), (-72.610193, -38.757518), (-72.611781, -38.757685), (-72.613584, -38.758221), (-72.615043, -38.759626), (-72.613593, -38.760339), (-72.61179, -38.76238), (-72.609335, -38.765215), (-72.608134, -38.769096), (-72.607275, -38.774516), (-72.607447, -38.775721), (-72.607962, -38.776858), (-72.606932, -38.778598), (-72.593542, -38.780204), (-72.580238, -38.775052), (-72.571226, -38.774249), (-72.567974, -38.768035), (-72.571514, -38.768404), (-72.575656, -38.766797), (-72.581011, -38.76836), (-72.583328, -38.766955), (-72.58453, -38.764412), (-72.587277, -38.763408), (-72.583414, -38.755443), (-72.584015, -38.753502), (-72.586933, -38.751912), (-72.586547, -38.749151), (-72.589916, -38.749787)]
2020-03-29;Temuco;[(-72.584652, -38.749672), (-72.583606, -38.749409), (-72.580652, -38.748413), (-72.580067, -38.748348), (-72.579619, -38.748065), (-72.579466, -38.748013), (-72.579575, -38.748037), (-72.576891, -38.74634), (-72.577554, -38.746887), (-72.57526, -38.745536), (-72.570625, -38.741587), (-72.56805, -38.739444), (-72.564961, -38.738507), (-72.562128, -38.737503), (-72.559982, -38.734289), (-72.559424, -38.7328), (-72.557536, -38.732883), (-72.555047, -38.731896), (-72.554661, -38.72987), (-72.554146, -38.725853), (-72.552687, -38.723174), (-72.551485, -38.71996), (-72.548996, -38.718018), (-72.546593, -38.715607), (-72.548395, -38.713933), (-72.548052, -38.712459), (-72.543589, -38.709914), (-72.542902, -38.709244), (-72.545992, -38.70623), (-72.546593, -38.70536), (-72.544361, -38.70402), (-72.54007, -38.70891), (-72.536808, -38.706766), (-72.537409, -38.705293), (-72.53492, -38.70402), (-72.535263, -38.70181), (-72.532173, -38.701006), (-72.532688, -38.698929), (-72.516123, -38.690556), (-72.517925, -38.687139), (-72.523333, -38.689886), (-72.523333, -38.690891), (-72.524878, -38.691427), (-72.525393, -38.689953), (-72.530542, -38.685464), (-72.533203, -38.68399), (-72.536894, -38.684928), (-72.53964, -38.688676), (-72.538782, -38.689879), (-72.540327, -38.691552), (-72.544104, -38.690539), (-72.541357, -38.683622), (-72.544275, -38.683052), (-72.549511, -38.683186), (-72.550455, -38.689015), (-72.551078, -38.691192), (-72.547752, -38.691828), (-72.549082, -38.695245), (-72.551142, -38.695647), (-72.553202, -38.695178), (-72.556206, -38.697389), (-72.556635, -38.698528), (-72.558523, -38.700738), (-72.554146, -38.701676), (-72.552172, -38.702681), (-72.555433, -38.706498), (-72.556378, -38.705427), (-72.558438, -38.705025), (-72.561871, -38.708307), (-72.562729, -38.707101), (-72.564188, -38.708374), (-72.565905, -38.707972), (-72.567536, -38.707637), (-72.569681, -38.707336), (-72.571527, -38.711086), (-72.573243, -38.713162), (-72.580153, -38.710852), (-72.587105, -38.708039), (-72.589594, -38.70603), (-72.593113, -38.703283), (-72.593757, -38.70181), (-72.598263, -38.69692), (-72.60118, -38.698176), (-72.601942, -38.698617), (-72.60052, -38.699977), (-72.60144, -38.700288), (-72.601557, -38.701683), (-72.598697, -38.700371), (-72.597382, -38.700298), (-72.595698, -38.701996), (-72.595714, -38.703715), (-72.594528, -38.705435), (-72.597768, -38.704577), (-72.602693, -38.706191), (-72.603481, -38.70827), (-72.599241, -38.709913), (-72.599739, -38.712442), (-72.598765, -38.71893), (-72.600413, -38.721231), (-72.600358, -38.722281), (-72.601181, -38.722728), (-72.601575, -38.723576), (-72.601388, -38.724118), (-72.598971, -38.725797), (-72.602718, -38.725608), (-72.603261, -38.724358), (-72.60469, -38.723934), (-72.605573, -38.722416), (-72.605152, -38.721256), (-72.607119, -38.718625), (-72.615686, -38.714301), (-72.619552, -38.712724), (-72.620239, -38.711768), (-72.620241, -38.709071), (-72.622434, -38.706921), (-72.624204, -38.705134), (-72.624827, -38.706716), (-72.626072, -38.707336), (-72.62798, -38.70687), (-72.628858, -38.708247), (-72.629757, -38.70966), (-72.63099, -38.71245), (-72.632738, -38.71189), (-72.632458, -38.71037), (-72.633528, -38.708803), (-72.635062, -38.708429), (-72.637616, -38.708483), (-72.638689, -38.707453), (-72.637316, -38.703719), (-72.639376, -38.703216), (-72.642037, -38.702547), (-72.643667, -38.698394), (-72.645126, -38.695111), (-72.645985, -38.69136), (-72.650877, -38.689551), (-72.651049, -38.688948), (-72.64959, -38.687876), (-72.648903, -38.684995), (-72.650019, -38.682784), (-72.654568, -38.682248), (-72.65946, -38.684258), (-72.658602, -38.687541), (-72.6574, -38.689953), (-72.659203, -38.6927), (-72.660571, -38.694316), (-72.662282, -38.693855), (-72.66343, -38.69548), (-72.661724, -38.696367), (-72.661644, -38.696744), (-72.659761, -38.697322), (-72.66182, -38.700269), (-72.660533, -38.700805), (-72.657014, -38.701843), (-72.655126, -38.701944), (-72.656199, -38.703886), (-72.655169, -38.705159), (-72.656714, -38.708039), (-72.658344, -38.708776), (-72.659975, -38.708039), (-72.660919, -38.708374), (-72.661606, -38.707905), (-72.662121, -38.707235), (-72.664181, -38.707302), (-72.666412, -38.70757), (-72.667013, -38.710718), (-72.664267, -38.711656), (-72.664352, -38.713531), (-72.661263, -38.715138), (-72.661348, -38.716879), (-72.657486, -38.717281), (-72.656971, -38.718152), (-72.654654, -38.719726), (-72.656284, -38.721902), (-72.660276, -38.723777), (-72.66255, -38.724815), (-72.661434, -38.726221), (-72.663795, -38.733252), (-72.656542, -38.732682), (-72.653538, -38.732716), (-72.651135, -38.732716), (-72.649676, -38.732147), (-72.65328, -38.734925), (-72.654139, -38.736833), (-72.653366, -38.74152), (-72.652336, -38.74152), (-72.65122, -38.743997), (-72.649676, -38.743997), (-72.649418, -38.746608), (-72.65268, -38.747411), (-72.651135, -38.751829), (-72.659804, -38.753435), (-72.65843, -38.748816), (-72.663408, -38.749084), (-72.665468, -38.75541), (-72.689243, -38.760396), (-72.690102, -38.758321), (-72.695466, -38.756849), (-72.696161, -38.758418), (-72.702005, -38.757979), (-72.715239, -38.758172), (-72.724026, -38.75802), (-72.720216, -38.750862), (-72.724404, -38.75006), (-72.727082, -38.757741), (-72.730963, -38.758996), (-72.731858, -38.760702), (-72.728326, -38.760502), (-72.728643, -38.761841), (-72.732794, -38.764418), (-72.739862, -38.760704), (-72.737832, -38.755919), (-72.747032, -38.755735), (-72.747683, -38.760997), (-72.75067, -38.760751), (-72.749932, -38.757616), (-72.752395, -38.757588), (-72.753298, -38.760624), (-72.761412, -38.760715), (-72.761674, -38.761968), (-72.766491, -38.762198), (-72.766683, -38.764933), (-72.773076, -38.765585), (-72.771786, -38.760197), (-72.773839, -38.759593), (-72.772967, -38.757046), (-72.775342, -38.75677), (-72.776345, -38.759843), (-72.777704, -38.759439), (-72.780187, -38.766666), (-72.779538, -38.766666), (-72.779987, -38.768606), (-72.77772, -38.768974), (-72.777101, -38.766614), (-72.774414, -38.766994), (-72.7725, -38.767509), (-72.770157, -38.768558), (-72.76671, -38.76828), (-72.766876, -38.770283), (-72.76713, -38.771418), (-72.770302, -38.772017), (-72.771604, -38.773554), (-72.768542, -38.774353), (-72.765164, -38.774077), (-72.764761, -38.774863), (-72.760495, -38.773908), (-72.760541, -38.771497), (-72.755952, -38.771093), (-72.755358, -38.774167), (-72.752704, -38.774162), (-72.749489, -38.772553), (-72.746422, -38.770879), (-72.744975, -38.767566), (-72.742706, -38.767582), (-72.744404, -38.770401), (-72.740018, -38.771208), (-72.738854, -38.768734), (-72.735183, -38.769504), (-72.734773, -38.767464), (-72.730414, -38.768543), (-72.729076, -38.765881), (-72.724513, -38.768722), (-72.722425, -38.766909), (-72.715159, -38.764354), (-72.71539, -38.760849), (-72.701887, -38.76069), (-72.702775, -38.764893), (-72.697812, -38.765054), (-72.696453, -38.760664), (-72.693621, -38.761467), (-72.694479, -38.765014), (-72.690273, -38.765349), (-72.689673, -38.762672), (-72.68478, -38.763274), (-72.684566, -38.76227), (-72.678686, -38.761868), (-72.679716, -38.765616), (-72.678343, -38.768092), (-72.674738, -38.766955), (-72.673451, -38.76401), (-72.676369, -38.764244), (-72.675639, -38.760647), (-72.674566, -38.760262), (-72.665983, -38.758187), (-72.664524, -38.757451), (-72.661177, -38.757317), (-72.659804, -38.758857), (-72.657143, -38.760329), (-72.654053, -38.762738), (-72.649761, -38.762471), (-72.64959, -38.763943), (-72.647015, -38.763742), (-72.646929, -38.759593), (-72.644526, -38.759325), (-72.644526, -38.760061), (-72.640663, -38.760396), (-72.640492, -38.761534), (-72.638346, -38.761534), (-72.632853, -38.7614), (-72.623583, -38.761935), (-72.619721, -38.76053), (-72.618176, -38.758455), (-72.614313, -38.757652), (-72.61191, -38.756581), (-72.609078, -38.755577), (-72.606331, -38.757987), (-72.603756, -38.757585), (-72.600016, -38.756934), (-72.596239, -38.755462), (-72.592462, -38.753721), (-72.590402, -38.751713), (-72.586969, -38.750642), (-72.584652, -38.749672)]
2020-03-29;Isla de Pascua ;[(-109.423185, -27.120852), (-109.422155, -27.124366), (-109.425245, -27.130018), (-109.427991, -27.133074), (-109.427991, -27.136435), (-109.428335, -27.141629), (-109.431425, -27.147586), (-109.435716, -27.149266), (-109.438634, -27.149725), (-109.440694, -27.153543), (-109.441209, -27.159042), (-109.442583, -27.163776), (-109.448248, -27.171871), (-109.449277, -27.177521), (-109.447046, -27.182408), (-109.447046, -27.188516), (-109.438806, -27.192944), (-109.434686, -27.195387), (-109.428335, -27.19783), (-109.41649, -27.193402), (-109.409967, -27.188516), (-109.404817, -27.177368), (-109.402929, -27.173551), (-109.397607, -27.170802), (-109.395719, -27.168358), (-109.389539, -27.169427), (-109.377866, -27.166831), (-109.366193, -27.169122), (-109.363275, -27.165915), (-109.355207, -27.164082), (-109.350744, -27.164082), (-109.346796, -27.158584), (-109.339929, -27.151863), (-109.334779, -27.14835), (-109.324995, -27.143309), (-109.315725, -27.140407), (-109.308687, -27.138421), (-109.301992, -27.140101), (-109.295812, -27.13949), (-109.292551, -27.141476), (-109.285512, -27.140101), (-109.281049, -27.13781), (-109.281049, -27.135518), (-109.274183, -27.131546), (-109.274011, -27.126505), (-109.271608, -27.123144), (-109.265085, -27.123755), (-109.25324, -27.120699), (-109.238992, -27.121004), (-109.236589, -27.121157), (-109.233671, -27.119477), (-109.232469, -27.114282), (-109.229208, -27.107253), (-109.227663, -27.104808), (-109.229036, -27.10114), (-109.236417, -27.091971), (-109.244657, -27.091513), (-109.247575, -27.093194), (-109.257188, -27.090443), (-109.264913, -27.091054), (-109.27178, -27.09136), (-109.281221, -27.093652), (-109.284998, -27.088915), (-109.289117, -27.087845), (-109.297014, -27.087692), (-109.300275, -27.083566), (-109.305768, -27.079439), (-109.31212, -27.076076), (-109.314352, -27.070574), (-109.317613, -27.068739), (-109.321733, -27.071949), (-109.327913, -27.070421), (-109.332033, -27.068739), (-109.333234, -27.064918), (-109.345766, -27.058497), (-109.366708, -27.058192), (-109.371, -27.055287), (-109.379755, -27.055134), (-109.385934, -27.055898), (-109.389539, -27.060179), (-109.392972, -27.061555), (-109.395032, -27.064918), (-109.398981, -27.068434), (-109.401212, -27.075771), (-109.405332, -27.079897), (-109.406019, -27.085705), (-109.410139, -27.091207), (-109.411512, -27.097626), (-109.417692, -27.104655), (-109.420438, -27.109086), (-109.42164, -27.115504), (-109.423185, -27.120852)]
