fecha;nombre;geo
2020-04-15;Las Condes;[(-70.607983, -33.416182), (-70.605923, -33.41654), (-70.60455, -33.417328), (-70.60309, -33.4174), (-70.601803, -33.417902), (-70.595537, -33.42263), (-70.588499, -33.428217), (-70.584894, -33.431942), (-70.554596, -33.430438), (-70.539232, -33.428719), (-70.539275, -33.430044), (-70.538803, -33.432443), (-70.537687, -33.433661), (-70.522753, -33.431441), (-70.518032, -33.433733), (-70.517388, -33.436634), (-70.503333, -33.438084), (-70.499863, -33.443854), (-70.49521, -33.446595), (-70.495458, -33.450544), (-70.490003, -33.454667), (-70.48646, -33.460631), (-70.486178, -33.462728), (-70.482493, -33.465239), (-70.472971, -33.475195), (-70.460999, -33.475339), (-70.456214, -33.479706), (-70.451418, -33.481174), (-70.448504, -33.483912), (-70.440784, -33.486363), (-70.438366, -33.485986), (-70.436642, -33.481932), (-70.433892, -33.481623), (-70.433718, -33.476314), (-70.432515, -33.473009), (-70.434889, -33.469105), (-70.432814, -33.463144), (-70.430054, -33.462911), (-70.426778, -33.456806), (-70.429339, -33.453566), (-70.428536, -33.450738), (-70.428992, -33.446889), (-70.431624, -33.446541), (-70.432024, -33.44409), (-70.431538, -33.441146), (-70.429678, -33.439348), (-70.433683, -33.431884), (-70.433912, -33.426425), (-70.439859, -33.421789), (-70.442146, -33.417464), (-70.445462, -33.416006), (-70.450254, -33.408828), (-70.449208, -33.406808), (-70.456729, -33.393025), (-70.46559, -33.392107), (-70.472113, -33.391032), (-70.479494, -33.385156), (-70.483056, -33.381679), (-70.482155, -33.374763), (-70.483737, -33.372533), (-70.486275, -33.371538), (-70.486961, -33.364513), (-70.49048, -33.364441), (-70.492111, -33.364441), (-70.493742, -33.365086), (-70.49563, -33.366932), (-70.499064, -33.36695), (-70.505329, -33.369889), (-70.511252, -33.370606), (-70.516916, -33.372398), (-70.521294, -33.374333), (-70.526958, -33.376842), (-70.532709, -33.382647), (-70.534769, -33.384367), (-70.537602, -33.385585), (-70.548159, -33.389599), (-70.570904, -33.397983), (-70.582491, -33.402497), (-70.585323, -33.40393), (-70.590645, -33.405292), (-70.598713, -33.408229), (-70.60206, -33.408158), (-70.603691, -33.409018), (-70.605837, -33.410164), (-70.606609, -33.411884), (-70.607039, -33.414678), (-70.607983, -33.416182)]
2020-04-15;Ñuñoa Norte;[(-70.631436, -33.449798), (-70.62971, -33.455526), (-70.628571, -33.455388), (-70.626855, -33.455675), (-70.621018, -33.461117), (-70.604882, -33.462477), (-70.601191, -33.464554), (-70.599432, -33.464625), (-70.595183, -33.46459), (-70.590634, -33.464983), (-70.585785, -33.465879), (-70.581278, -33.467382), (-70.576386, -33.469136), (-70.570636, -33.45367), (-70.570979, -33.451378), (-70.572009, -33.445577), (-70.573382, -33.437914), (-70.575785, -33.436768), (-70.577502, -33.436293), (-70.579218, -33.435604), (-70.58218, -33.433831), (-70.587158, -33.439525), (-70.59278, -33.447815), (-70.59793, -33.444843), (-70.598412, -33.444319), (-70.599238, -33.444369), (-70.599217, -33.44461), (-70.60162, -33.444861), (-70.608144, -33.445685), (-70.613889, -33.446799), (-70.613714, -33.447522), (-70.616523, -33.447976), (-70.617113, -33.448142), (-70.618432, -33.448361), (-70.61876, -33.447233), (-70.625342, -33.448565), (-70.631436, -33.449798)]
2020-04-15;Puente Alto Poniente;[(-70.592418, -33.569895), (-70.597868, -33.567857), (-70.598533, -33.567428), (-70.599156, -33.567285), (-70.600035, -33.567338), (-70.600915, -33.567535), (-70.611644, -33.570503), (-70.612288, -33.57061), (-70.610914, -33.579621), (-70.610013, -33.581444), (-70.609455, -33.584376), (-70.609541, -33.586342), (-70.608125, -33.589881), (-70.606966, -33.595279), (-70.606794, -33.597031), (-70.606365, -33.598103), (-70.604756, -33.602214), (-70.619819, -33.604037), (-70.626814, -33.604984), (-70.626493, -33.618297), (-70.627952, -33.623801), (-70.62954, -33.631269), (-70.630612, -33.637915), (-70.631299, -33.642631), (-70.629625, -33.641345), (-70.628424, -33.641345), (-70.627222, -33.641416), (-70.625334, -33.641738), (-70.624304, -33.642417), (-70.622587, -33.643238), (-70.620527, -33.64306), (-70.618467, -33.64331), (-70.615549, -33.642167), (-70.612888, -33.641774), (-70.609927, -33.641524), (-70.604305, -33.641309), (-70.600186, -33.63963), (-70.596237, -33.637915), (-70.592461, -33.638165), (-70.590487, -33.637522), (-70.588598, -33.63545), (-70.586109, -33.634342), (-70.584135, -33.63427), (-70.581818, -33.634556), (-70.580444, -33.633342), (-70.579886, -33.63134), (-70.578685, -33.629268), (-70.576668, -33.627231), (-70.575724, -33.626838), (-70.575767, -33.626374), (-70.575767, -33.626124), (-70.575509, -33.625052), (-70.575166, -33.624265), (-70.574479, -33.623515), (-70.573535, -33.622836), (-70.573578, -33.621156), (-70.575681, -33.61072), (-70.577054, -33.602857), (-70.580316, -33.586735), (-70.583062, -33.572434), (-70.583835, -33.568751), (-70.592418, -33.569895)]
2020-04-15;Santiago Norte;[(-70.680514, -33.432759), (-70.680127, -33.438382), (-70.6812, -33.438417), (-70.681243, -33.437522), (-70.681656, -33.437544), (-70.681737, -33.436179), (-70.682751, -33.43634), (-70.682702, -33.436609), (-70.683169, -33.436689), (-70.683123, -33.437365), (-70.6834, -33.437415), (-70.683271, -33.438552), (-70.691715, -33.439259), (-70.69165, -33.439814), (-70.691951, -33.442536), (-70.692058, -33.444577), (-70.680299, -33.443861), (-70.679698, -33.443717), (-70.679334, -33.447236), (-70.679055, -33.450951), (-70.67785, -33.450621), (-70.677855, -33.451548), (-70.678053, -33.454391), (-70.67832, -33.458124), (-70.675696, -33.458656), (-70.672199, -33.458449), (-70.670761, -33.45817), (-70.668238, -33.457748), (-70.664118, -33.45703), (-70.662449, -33.4569), (-70.660491, -33.456788), (-70.660373, -33.456963), (-70.660438, -33.457271), (-70.660373, -33.458032), (-70.660051, -33.458354), (-70.659107, -33.458211), (-70.65834, -33.458131), (-70.657594, -33.458319), (-70.657627, -33.459176), (-70.657455, -33.460176), (-70.657004, -33.460368), (-70.656532, -33.460324), (-70.649408, -33.459572), (-70.62971, -33.455526), (-70.634817, -33.438517), (-70.63516, -33.43687), (-70.635246, -33.435903), (-70.646233, -33.433467), (-70.653013, -33.432035), (-70.662798, -33.42917), (-70.670008, -33.426877), (-70.671317, -33.426466), (-70.671971, -33.428301), (-70.672368, -33.428131), (-70.674643, -33.427289), (-70.677046, -33.426519), (-70.678934, -33.427271), (-70.680222, -33.428095), (-70.680694, -33.429993), (-70.680514, -33.432759)]
2020-04-15;Chillán-Chillán viejo;[(-72.078767, -36.588799), (-72.080097, -36.588678), (-72.081095, -36.588756), (-72.082532, -36.589238), (-72.083906, -36.590065), (-72.084421, -36.590754), (-72.085108, -36.590547), (-72.081908, -36.586841), (-72.087058, -36.585204), (-72.091371, -36.587978), (-72.095104, -36.586324), (-72.096048, -36.584911), (-72.099224, -36.586428), (-72.093752, -36.588271), (-72.096757, -36.59151), (-72.101606, -36.590166), (-72.101885, -36.588271), (-72.103022, -36.588151), (-72.106713, -36.592613), (-72.108494, -36.591941), (-72.109224, -36.592802), (-72.107807, -36.594077), (-72.110468, -36.597144), (-72.112442, -36.596541), (-72.107958, -36.587909), (-72.109052, -36.587651), (-72.111026, -36.591252), (-72.116412, -36.58927), (-72.118643, -36.592837), (-72.120274, -36.591993), (-72.122677, -36.595076), (-72.121454, -36.595628), (-72.11963, -36.593853), (-72.11682, -36.595386), (-72.121111, -36.599366), (-72.121411, -36.601692), (-72.150165, -36.606015), (-72.147547, -36.613766), (-72.13626, -36.612526), (-72.135273, -36.614765), (-72.143556, -36.618003), (-72.143341, -36.627027), (-72.146045, -36.634673), (-72.141367, -36.640734), (-72.131411, -36.643316), (-72.12802, -36.639391), (-72.119223, -36.641594), (-72.117892, -36.634535), (-72.097164, -36.634501), (-72.084676, -36.637428), (-72.080427, -36.633123), (-72.067896, -36.632882), (-72.067681, -36.625615), (-72.081328, -36.625202), (-72.079698, -36.623824), (-72.076608, -36.624203), (-72.07635, -36.623308), (-72.074848, -36.622033), (-72.072016, -36.612871), (-72.069698, -36.61263), (-72.069226, -36.611424), (-72.067038, -36.611906), (-72.066394, -36.608461), (-72.077766, -36.605257), (-72.07841, -36.604086), (-72.077852, -36.603018), (-72.081328, -36.601709), (-72.082101, -36.602605), (-72.088796, -36.600916), (-72.084333, -36.59282), (-72.079526, -36.593957), (-72.076608, -36.59499), (-72.074591, -36.590511), (-72.070128, -36.590993), (-72.0712, -36.592165), (-72.07266, -36.595059), (-72.061673, -36.597712), (-72.059828, -36.593061), (-72.06163, -36.592854), (-72.059914, -36.590029), (-72.057854, -36.589718), (-72.05824, -36.588306), (-72.05957, -36.588409), (-72.059957, -36.587479), (-72.06103, -36.586858), (-72.06236, -36.586548), (-72.064549, -36.586858), (-72.063604, -36.584722), (-72.06575, -36.583998), (-72.066523, -36.58455), (-72.072488, -36.582206), (-72.078767, -36.588799)]
2020-04-15;Padre Las Casas;[(-72.589916, -38.749787), (-72.594186, -38.751661), (-72.594744, -38.752163), (-72.598692, -38.754908), (-72.60234, -38.756548), (-72.603713, -38.756782), (-72.604378, -38.757033), (-72.604872, -38.757083), (-72.606181, -38.757418), (-72.607576, -38.757685), (-72.610193, -38.757518), (-72.611781, -38.757685), (-72.613584, -38.758221), (-72.615043, -38.759626), (-72.613593, -38.760339), (-72.61179, -38.76238), (-72.609335, -38.765215), (-72.608134, -38.769096), (-72.607275, -38.774516), (-72.607447, -38.775721), (-72.607962, -38.776858), (-72.606932, -38.778598), (-72.593542, -38.780204), (-72.580238, -38.775052), (-72.571226, -38.774249), (-72.567974, -38.768035), (-72.571514, -38.768404), (-72.575656, -38.766797), (-72.581011, -38.76836), (-72.583328, -38.766955), (-72.58453, -38.764412), (-72.587277, -38.763408), (-72.583414, -38.755443), (-72.584015, -38.753502), (-72.586933, -38.751912), (-72.586547, -38.749151), (-72.589916, -38.749787)]
2020-04-15;Osorno;[(-73.161382, -40.546381), (-73.160437, -40.548142), (-73.164557, -40.549576), (-73.162926, -40.552642), (-73.16018, -40.556685), (-73.161296, -40.557141), (-73.162154, -40.557141), (-73.166617, -40.55838), (-73.167304, -40.557533), (-73.16842, -40.557794), (-73.172797, -40.553229), (-73.174256, -40.55375), (-73.17048, -40.558315), (-73.17417, -40.559424), (-73.173401, -40.561804), (-73.174087, -40.562912), (-73.175632, -40.563238), (-73.175847, -40.561478), (-73.17752, -40.561739), (-73.179366, -40.564184), (-73.178808, -40.566107), (-73.176963, -40.566107), (-73.170096, -40.570084), (-73.178164, -40.571552), (-73.177778, -40.573018), (-73.174474, -40.572497), (-73.174044, -40.573964), (-73.180439, -40.574518), (-73.179323, -40.577517), (-73.178293, -40.578201), (-73.177349, -40.582601), (-73.17928, -40.585665), (-73.182584, -40.585958), (-73.179623, -40.589087), (-73.181383, -40.590391), (-73.180052, -40.592965), (-73.176534, -40.595246), (-73.174431, -40.595474), (-73.17516, -40.596419), (-73.174216, -40.596941), (-73.173315, -40.596061), (-73.172113, -40.594301), (-73.169667, -40.595409), (-73.16868, -40.595181), (-73.16765, -40.593682), (-73.170053, -40.592932), (-73.169109, -40.591792), (-73.16692, -40.59277), (-73.16632, -40.591955), (-73.165075, -40.592378), (-73.164045, -40.590456), (-73.166362, -40.588207), (-73.165075, -40.586871), (-73.162758, -40.588598), (-73.161642, -40.587132), (-73.164603, -40.586024), (-73.164517, -40.585144), (-73.160526, -40.586317), (-73.160097, -40.585339), (-73.157908, -40.585632), (-73.15778, -40.58674), (-73.15675, -40.587066), (-73.157136, -40.588663), (-73.157179, -40.589315), (-73.154132, -40.589934), (-73.154518, -40.591238), (-73.152286, -40.591564), (-73.151557, -40.592411), (-73.152072, -40.593975), (-73.149883, -40.594236), (-73.149196, -40.591857), (-73.144218, -40.593324), (-73.142544, -40.5929), (-73.141214, -40.590651), (-73.143918, -40.589576), (-73.142802, -40.588337), (-73.141171, -40.589185), (-73.138382, -40.585893), (-73.138382, -40.580287), (-73.136365, -40.580352), (-73.136279, -40.584068), (-73.13276, -40.585013), (-73.131344, -40.584981), (-73.128897, -40.586512), (-73.127095, -40.587718), (-73.126537, -40.588598), (-73.129026, -40.589413), (-73.127868, -40.591727), (-73.12585, -40.592085), (-73.125636, -40.593649), (-73.124177, -40.594725), (-73.123705, -40.596582), (-73.12379, -40.598114), (-73.12246, -40.598244), (-73.122374, -40.596582), (-73.118984, -40.595833), (-73.118083, -40.596973), (-73.115036, -40.595865), (-73.117139, -40.592704), (-73.115765, -40.591629), (-73.111302, -40.595181), (-73.108813, -40.595702), (-73.105208, -40.598179), (-73.103363, -40.597234), (-73.105766, -40.594203), (-73.101131, -40.591368), (-73.09993, -40.593258), (-73.10229, -40.601274), (-73.100402, -40.601763), (-73.098642, -40.594855), (-73.097998, -40.594464), (-73.097655, -40.596973), (-73.096625, -40.596745), (-73.09714, -40.593226), (-73.096582, -40.592313), (-73.097183, -40.591205), (-73.096539, -40.586219), (-73.09611, -40.5856), (-73.095295, -40.585632), (-73.094222, -40.586056), (-73.093707, -40.586415), (-73.093449, -40.58674), (-73.092419, -40.586056), (-73.094093, -40.584948), (-73.093406, -40.584133), (-73.088814, -40.586773), (-73.085725, -40.584752), (-73.08654, -40.584101), (-73.088342, -40.585209), (-73.089201, -40.584752), (-73.087784, -40.582862), (-73.092076, -40.580809), (-73.092806, -40.582015), (-73.09684, -40.580026), (-73.096625, -40.577582), (-73.09581, -40.577549), (-73.094737, -40.57856), (-73.094308, -40.577028), (-73.095466, -40.576213), (-73.096754, -40.576148), (-73.096539, -40.570541), (-73.094136, -40.570019), (-73.094093, -40.569009), (-73.096496, -40.569465), (-73.096625, -40.56464), (-73.094308, -40.564771), (-73.094265, -40.563793), (-73.095981, -40.563662), (-73.095767, -40.560924), (-73.096968, -40.558152), (-73.098299, -40.557989), (-73.098814, -40.560826), (-73.106066, -40.562554), (-73.111173, -40.561706), (-73.113062, -40.561706), (-73.11701, -40.563336), (-73.12422, -40.563923), (-73.129455, -40.565423), (-73.130914, -40.566466), (-73.137953, -40.567574), (-73.143789, -40.566727), (-73.148853, -40.564053), (-73.150999, -40.558511), (-73.149711, -40.549446), (-73.15117, -40.54925), (-73.151514, -40.550881), (-73.153145, -40.551533), (-73.154861, -40.54912), (-73.156406, -40.549511), (-73.159324, -40.545663), (-73.161382, -40.546381)]
2020-04-15;Punta Arenas;[(-70.872971, -53.093528), (-70.881898, -53.092291), (-70.881898, -53.093219), (-70.887855, -53.091879), (-70.888936, -53.094353), (-70.883614, -53.095281), (-70.884988, -53.102084), (-70.889279, -53.100125), (-70.890824, -53.100641), (-70.893914, -53.098064), (-70.899922, -53.099713), (-70.904163, -53.100022), (-70.902446, -53.10332), (-70.89867, -53.104248), (-70.897297, -53.105897), (-70.893005, -53.107546), (-70.89043, -53.109916), (-70.88734, -53.111049), (-70.886482, -53.112389), (-70.883099, -53.112183), (-70.878979, -53.114913), (-70.892412, -53.12161), (-70.904299, -53.115068), (-70.908848, -53.116665), (-70.919466, -53.119189), (-70.926651, -53.114346), (-70.930513, -53.116304), (-70.935749, -53.119034), (-70.939182, -53.12027), (-70.942873, -53.122176), (-70.946907, -53.124082), (-70.951799, -53.124443), (-70.952915, -53.128099), (-70.95446, -53.129335), (-70.955576, -53.13088), (-70.957206, -53.132992), (-70.957807, -53.134073), (-70.957464, -53.135566), (-70.949825, -53.136339), (-70.944589, -53.136854), (-70.946864, -53.140948), (-70.966047, -53.138501), (-70.969394, -53.14468), (-70.967334, -53.145246), (-70.9627, -53.145555), (-70.95961, -53.145966), (-70.958322, -53.145864), (-70.959488, -53.148283), (-70.961548, -53.153276), (-70.961119, -53.156004), (-70.972449, -53.157162), (-70.974595, -53.160224), (-70.968457, -53.161048), (-70.972363, -53.167737), (-70.96064, -53.16856), (-70.965275, -53.17854), (-70.967506, -53.181833), (-70.969566, -53.187542), (-70.963987, -53.188622), (-70.954975, -53.189907), (-70.953602, -53.18713), (-70.946478, -53.189393), (-70.939096, -53.182141), (-70.93044, -53.185587), (-70.932856, -53.189393), (-70.934598, -53.191347), (-70.937516, -53.191244), (-70.940949, -53.195153), (-70.937465, -53.19613), (-70.936829, -53.198906), (-70.938667, -53.202556), (-70.935148, -53.203251), (-70.934547, -53.199934), (-70.933517, -53.197826), (-70.931225, -53.19325), (-70.929276, -53.190833), (-70.925535, -53.185382), (-70.924899, -53.182964), (-70.921415, -53.179878), (-70.918669, -53.178026), (-70.918053, -53.175569), (-70.918553, -53.172752), (-70.917149, -53.170926), (-70.912282, -53.168714), (-70.911681, -53.169074), (-70.904471, -53.165936), (-70.904214, -53.165524), (-70.902068, -53.165421), (-70.900265, -53.164804), (-70.895237, -53.164238), (-70.891202, -53.164366), (-70.889229, -53.163414), (-70.886954, -53.159889), (-70.886568, -53.157033), (-70.883932, -53.150651), (-70.883614, -53.148026), (-70.880646, -53.144525), (-70.87601, -53.142157), (-70.869401, -53.139634), (-70.865711, -53.137214), (-70.859856, -53.134086), (-70.854003, -53.130237), (-70.85838, -53.127584), (-70.861985, -53.124752), (-70.871032, -53.118056), (-70.875546, -53.113213), (-70.879101, -53.108164), (-70.879787, -53.10332), (-70.877899, -53.101001), (-70.876011, -53.099713), (-70.874577, -53.098373), (-70.874203, -53.095899), (-70.872971, -53.093528)]
2020-04-15;Nueva Imperial;[(-72.951915, -38.730589), (-72.951872, -38.732598), (-72.95037, -38.732564), (-72.950328, -38.735477), (-72.951872, -38.735477), (-72.951872, -38.736213), (-72.95316, -38.736213), (-72.952902, -38.738255), (-72.954834, -38.738255), (-72.956422, -38.73715), (-72.957709, -38.737117), (-72.957709, -38.73772), (-72.958696, -38.73772), (-72.958868, -38.738791), (-72.959769, -38.73869), (-72.960413, -38.740197), (-72.960413, -38.741067), (-72.964661, -38.741134), (-72.964532, -38.742038), (-72.965219, -38.743109), (-72.965949, -38.743276), (-72.965477, -38.744648), (-72.963116, -38.744548), (-72.963116, -38.74341), (-72.961829, -38.743276), (-72.961185, -38.744548), (-72.961228, -38.745151), (-72.961958, -38.745686), (-72.962129, -38.746422), (-72.961314, -38.74823), (-72.960627, -38.749301), (-72.954104, -38.749), (-72.953932, -38.750606), (-72.952902, -38.750439), (-72.951057, -38.750807), (-72.950242, -38.751008), (-72.94698, -38.752849), (-72.94492, -38.752748), (-72.943032, -38.754053), (-72.941916, -38.754823), (-72.93814, -38.75489), (-72.938011, -38.753049), (-72.935822, -38.754087), (-72.934921, -38.752514), (-72.937067, -38.752146), (-72.937024, -38.75161), (-72.93874, -38.751543), (-72.938955, -38.750305), (-72.938955, -38.749569), (-72.940242, -38.749334), (-72.940071, -38.748498), (-72.940414, -38.747996), (-72.939985, -38.747427), (-72.941272, -38.746322), (-72.940157, -38.744515), (-72.942989, -38.74341), (-72.941144, -38.742942), (-72.940843, -38.742038), (-72.939728, -38.741469), (-72.937925, -38.741736), (-72.937968, -38.743477), (-72.934578, -38.744113), (-72.934234, -38.741971), (-72.935479, -38.741837), (-72.935436, -38.73936), (-72.942388, -38.73936), (-72.942603, -38.731192), (-72.945092, -38.731225), (-72.945993, -38.731593), (-72.94831, -38.731426), (-72.950285, -38.731493), (-72.950285, -38.730991), (-72.9508, -38.730422), (-72.951915, -38.730589)]
2020-04-15;Hualpén;[(-73.115547, -36.775724), (-73.129022, -36.771049), (-73.13237, -36.778886), (-73.13031, -36.779299), (-73.13194, -36.784248), (-73.135116, -36.783492), (-73.13606, -36.786104), (-73.12413, -36.788579), (-73.124387, -36.789472), (-73.122928, -36.789885), (-73.122499, -36.788854), (-73.121602, -36.789035), (-73.121076, -36.789027), (-73.120486, -36.78888), (-73.119928, -36.788614), (-73.119532, -36.788288), (-73.11892, -36.787368), (-73.117364, -36.787033), (-73.117139, -36.786655), (-73.115841, -36.787463), (-73.117836, -36.789516), (-73.117772, -36.790565), (-73.116324, -36.791243), (-73.116495, -36.791544), (-73.115934, -36.791832), (-73.116266, -36.792872), (-73.117972, -36.791781), (-73.118712, -36.791798), (-73.118476, -36.795896), (-73.11809, -36.797073), (-73.117157, -36.798216), (-73.115891, -36.799006), (-73.114367, -36.799565), (-73.105838, -36.802669), (-73.106016, -36.802884), (-73.106242, -36.803382), (-73.106478, -36.803657), (-73.106542, -36.803734), (-73.10711, -36.803683), (-73.107701, -36.804688), (-73.10711, -36.804902), (-73.107411, -36.805134), (-73.108033, -36.805341), (-73.108688, -36.806234), (-73.108409, -36.806243), (-73.10799, -36.806406), (-73.107679, -36.806457), (-73.106317, -36.80681), (-73.105952, -36.806981), (-73.10563, -36.807076), (-73.105501, -36.807067), (-73.104654, -36.807213), (-73.10416, -36.807376), (-73.104085, -36.807471), (-73.103946, -36.807522), (-73.103677, -36.807522), (-73.103388, -36.807617), (-73.10327, -36.807591), (-73.103173, -36.806861), (-73.103677, -36.806801), (-73.104997, -36.803098), (-73.104965, -36.803004), (-73.10327, -36.803545), (-73.10122, -36.804653), (-73.102004, -36.805994), (-73.102218, -36.806998), (-73.097948, -36.808442), (-73.096779, -36.806397), (-73.098678, -36.80553), (-73.098871, -36.805203), (-73.096736, -36.803107), (-73.095942, -36.803657), (-73.093871, -36.802119), (-73.090792, -36.802867), (-73.093066, -36.805908), (-73.091103, -36.80711), (-73.092047, -36.80839), (-73.088174, -36.810288), (-73.08708, -36.808485), (-73.087101, -36.80827), (-73.088818, -36.806174), (-73.087842, -36.805092), (-73.088067, -36.804628), (-73.086844, -36.804155), (-73.086425, -36.804129), (-73.085942, -36.804232), (-73.085717, -36.80443), (-73.084355, -36.80577), (-73.082938, -36.804593), (-73.082724, -36.80583), (-73.081683, -36.807918), (-73.081404, -36.808459), (-73.081082, -36.808158), (-73.0809, -36.807883), (-73.079677, -36.806234), (-73.079602, -36.806079), (-73.079591, -36.805959), (-73.079645, -36.80589), (-73.079119, -36.805564), (-73.079773, -36.804851), (-73.077982, -36.804971), (-73.07766, -36.804937), (-73.077134, -36.804679), (-73.076941, -36.804662), (-73.076759, -36.804774), (-73.076394, -36.804524), (-73.07752, -36.80364), (-73.078121, -36.802729), (-73.076233, -36.802033), (-73.075911, -36.802566), (-73.075192, -36.80321), (-73.073186, -36.801982), (-73.074087, -36.801252), (-73.074441, -36.800788), (-73.075203, -36.799362), (-73.077123, -36.80004), (-73.078529, -36.797824), (-73.079366, -36.797514), (-73.078744, -36.796767), (-73.07958, -36.796294), (-73.078625, -36.794963), (-73.079194, -36.794654), (-73.078904, -36.794267), (-73.079452, -36.794095), (-73.07812, -36.792526), (-73.078066, -36.792285), (-73.07827, -36.789256), (-73.078582, -36.789158), (-73.078758, -36.789007), (-73.078791, -36.788762), (-73.079, -36.788676), (-73.079118, -36.788479), (-73.079214, -36.788071), (-73.079182, -36.787804), (-73.079011, -36.787581), (-73.07951, -36.78447), (-73.084748, -36.783397), (-73.086143, -36.782847), (-73.115547, -36.775724)]
