fecha;nombre;geo
2020-04-19;El Bosque;[(-70.685342, -33.539101), (-70.686029, -33.54046), (-70.686961, -33.541898), (-70.686673, -33.541981), (-70.69311, -33.556144), (-70.695384, -33.55593), (-70.697058, -33.56369), (-70.696586, -33.564012), (-70.700835, -33.573023), (-70.676673, -33.582533), (-70.663155, -33.58525), (-70.660237, -33.574024), (-70.659808, -33.57338), (-70.656804, -33.562367), (-70.653394, -33.548798), (-70.656705, -33.54821), (-70.65679, -33.548013), (-70.666779, -33.546368), (-70.668324, -33.545402), (-70.672723, -33.54373), (-70.681263, -33.540582), (-70.685342, -33.539101)]
2020-04-19;Ñuñoa Norte;[(-70.631436, -33.449798), (-70.62971, -33.455526), (-70.628571, -33.455388), (-70.626855, -33.455675), (-70.621018, -33.461117), (-70.604882, -33.462477), (-70.601191, -33.464554), (-70.599432, -33.464625), (-70.595183, -33.46459), (-70.590634, -33.464983), (-70.585785, -33.465879), (-70.581278, -33.467382), (-70.576386, -33.469136), (-70.570636, -33.45367), (-70.570979, -33.451378), (-70.572009, -33.445577), (-70.573382, -33.437914), (-70.575785, -33.436768), (-70.577502, -33.436293), (-70.579218, -33.435604), (-70.58218, -33.433831), (-70.587158, -33.439525), (-70.59278, -33.447815), (-70.59793, -33.444843), (-70.598412, -33.444319), (-70.599238, -33.444369), (-70.599217, -33.44461), (-70.60162, -33.444861), (-70.608144, -33.445685), (-70.613889, -33.446799), (-70.613714, -33.447522), (-70.616523, -33.447976), (-70.617113, -33.448142), (-70.618432, -33.448361), (-70.61876, -33.447233), (-70.625342, -33.448565), (-70.631436, -33.449798)]
2020-04-19;Puente Alto Poniente;[(-70.592418, -33.569895), (-70.597868, -33.567857), (-70.598533, -33.567428), (-70.599156, -33.567285), (-70.600035, -33.567338), (-70.600915, -33.567535), (-70.611644, -33.570503), (-70.612288, -33.57061), (-70.610914, -33.579621), (-70.610013, -33.581444), (-70.609455, -33.584376), (-70.609541, -33.586342), (-70.608125, -33.589881), (-70.606966, -33.595279), (-70.606794, -33.597031), (-70.606365, -33.598103), (-70.604756, -33.602214), (-70.619819, -33.604037), (-70.626814, -33.604984), (-70.626493, -33.618297), (-70.627952, -33.623801), (-70.62954, -33.631269), (-70.630612, -33.637915), (-70.631299, -33.642631), (-70.629625, -33.641345), (-70.628424, -33.641345), (-70.627222, -33.641416), (-70.625334, -33.641738), (-70.624304, -33.642417), (-70.622587, -33.643238), (-70.620527, -33.64306), (-70.618467, -33.64331), (-70.615549, -33.642167), (-70.612888, -33.641774), (-70.609927, -33.641524), (-70.604305, -33.641309), (-70.600186, -33.63963), (-70.596237, -33.637915), (-70.592461, -33.638165), (-70.590487, -33.637522), (-70.588598, -33.63545), (-70.586109, -33.634342), (-70.584135, -33.63427), (-70.581818, -33.634556), (-70.580444, -33.633342), (-70.579886, -33.63134), (-70.578685, -33.629268), (-70.576668, -33.627231), (-70.575724, -33.626838), (-70.575767, -33.626374), (-70.575767, -33.626124), (-70.575509, -33.625052), (-70.575166, -33.624265), (-70.574479, -33.623515), (-70.573535, -33.622836), (-70.573578, -33.621156), (-70.575681, -33.61072), (-70.577054, -33.602857), (-70.580316, -33.586735), (-70.583062, -33.572434), (-70.583835, -33.568751), (-70.592418, -33.569895)]
2020-04-19;San Bernardo Nororiente;[(-70.666862, -33.596594), (-70.663155, -33.58525), (-70.676673, -33.582533), (-70.700835, -33.573023), (-70.696586, -33.564012), (-70.697058, -33.56369), (-70.695384, -33.55593), (-70.69311, -33.556144), (-70.686673, -33.541981), (-70.685214, -33.540604), (-70.686265, -33.541194), (-70.686608, -33.541301), (-70.686029, -33.54046), (-70.685342, -33.539101), (-70.706473, -33.553366), (-70.710078, -33.555297), (-70.710808, -33.556835), (-70.710636, -33.559266), (-70.714584, -33.587514), (-70.685831, -33.594306), (-70.681668, -33.593091), (-70.680939, -33.593091), (-70.679651, -33.593698), (-70.666862, -33.596594)]
2020-04-19;Santiago Norte;[(-70.680514, -33.432759), (-70.680127, -33.438382), (-70.6812, -33.438417), (-70.681243, -33.437522), (-70.681656, -33.437544), (-70.681737, -33.436179), (-70.682751, -33.43634), (-70.682702, -33.436609), (-70.683169, -33.436689), (-70.683123, -33.437365), (-70.6834, -33.437415), (-70.683271, -33.438552), (-70.691715, -33.439259), (-70.69165, -33.439814), (-70.691951, -33.442536), (-70.692058, -33.444577), (-70.680299, -33.443861), (-70.679698, -33.443717), (-70.679334, -33.447236), (-70.679055, -33.450951), (-70.67785, -33.450621), (-70.677855, -33.451548), (-70.678053, -33.454391), (-70.67832, -33.458124), (-70.675696, -33.458656), (-70.672199, -33.458449), (-70.670761, -33.45817), (-70.668238, -33.457748), (-70.664118, -33.45703), (-70.662449, -33.4569), (-70.660491, -33.456788), (-70.660373, -33.456963), (-70.660438, -33.457271), (-70.660373, -33.458032), (-70.660051, -33.458354), (-70.659107, -33.458211), (-70.65834, -33.458131), (-70.657594, -33.458319), (-70.657627, -33.459176), (-70.657455, -33.460176), (-70.657004, -33.460368), (-70.656532, -33.460324), (-70.649408, -33.459572), (-70.62971, -33.455526), (-70.634817, -33.438517), (-70.63516, -33.43687), (-70.635246, -33.435903), (-70.646233, -33.433467), (-70.653013, -33.432035), (-70.662798, -33.42917), (-70.670008, -33.426877), (-70.671317, -33.426466), (-70.671971, -33.428301), (-70.672368, -33.428131), (-70.674643, -33.427289), (-70.677046, -33.426519), (-70.678934, -33.427271), (-70.680222, -33.428095), (-70.680694, -33.429993), (-70.680514, -33.432759)]
