fecha,comuna,poblacion_comuna,poblacion_cuarentena
2020-05-28,Lo Barnechea,103092,103092
2020-05-28,Lo Espejo,98651,98651
2020-05-28,Lo Prado,95901,95901
2020-05-28,Macul,116249,116249
2020-05-28,Maipú,517393,518416
2020-05-28,Pedro Aguirre Cerda,101035,101035
2020-05-28,Peñalolén,241394,241394
2020-05-28,Providencia,141986,141986
2020-05-28,Pudahuel,222754,221731
2020-05-28,Puente Alto,564238,525724
2020-05-28,Quilicura,209676,209014
2020-05-28,Quinta Normal,109784,109784
2020-05-28,Recoleta,157569,157569
2020-05-28,Renca,146987,146987
2020-05-28,San Bernardo,296020,187420
2020-05-28,San Joaquín,94325,93979
2020-05-28,San Miguel,107828,107828
2020-05-28,San Ramón,81853,46853
2020-05-28,Santiago,402847,402847
2020-05-28,Vitacura,85300,85300
2020-05-28,Ñuñoa,208048,208048
